dataset_variant,target,method,model,split,unit,n,sacrebleu,chrf_corpus,chrf_mean,rouge_l_mean,token_f1_mean,bertscore_f1_mean,mean_latency_s,source,notes
dataset_enriched,enriched_answer,vlm_zero_shot,Qwen/Qwen2.5-VL-3B-Instruct,test,image,314,1.401,31.408,0.298,0.123,0.189,0.680,14.697,outputs/metrics/dataset_enriched/metrics_mixed.csv,VLM enriched evaluated per image; RAG uses E5 retrieval when method name includes rag
dataset_enriched,enriched_answer,vlm_zero_shot_rag_e5_small_enriched,Qwen/Qwen2.5-VL-3B-Instruct,test,image,314,1.712,32.470,0.310,0.136,0.199,0.682,18.066,outputs/metrics/dataset_enriched/metrics_mixed.csv,VLM enriched evaluated per image; RAG uses E5 retrieval when method name includes rag
dataset_enriched,enriched_answer,vlm_lora_rag_e5_small_enriched,Qwen/Qwen2.5-VL-3B-Instruct + LoRA,valid,image,157,9.033,31.291,0.311,0.218,0.272,0.723,13.541,outputs/metrics/dataset_enriched/metrics_mixed.csv,VLM enriched evaluated per image; RAG uses E5 retrieval when method name includes rag
dataset_enriched,enriched_answer,vlm_lora_rag_e5_small_enriched,Qwen/Qwen2.5-VL-3B-Instruct + LoRA,test,image,314,8.799,29.170,0.302,0.228,0.274,0.724,11.716,outputs/metrics/dataset_enriched/metrics_mixed.csv,VLM enriched evaluated per image; RAG uses E5 retrieval when method name includes rag
dataset_enriched,enriched_answer,vlm_lora_case_avg,Qwen/Qwen2.5-VL-3B-Instruct,valid,case,56,5.260,34.095,0.362,0.250,0.313,0.737,44.746,outputs/metrics/dataset_enriched/per_case_vlm_lora_valid.csv,case-level average over image-level metrics; corpus scores use deduplicated image predictions concatenated per encounter (n=56)
dataset_enriched,enriched_answer,vlm_lora_case_avg,Qwen/Qwen2.5-VL-3B-Instruct,test,case,100,5.022,34.532,0.368,0.250,0.314,0.737,46.996,outputs/metrics/dataset_enriched/per_case_vlm_lora_test.csv,case-level average over image-level metrics; corpus scores use deduplicated image predictions concatenated per encounter (n=100)
dataset_longest_answer,longest_answer,retrieval_multimodal,alpha0.60,all,case,998,,,0.165,0.084,0.082,0.657,,outputs/metrics/dataset_longest_answer/metrics_summary.csv,"retrieval summary from all-index results; split column is evaluation subset, not train-only retrieval"
dataset_longest_answer,longest_answer,retrieval_multimodal,alpha0.60,test,case,100,,,0.171,0.080,0.080,0.658,,outputs/metrics/dataset_longest_answer/metrics_summary.csv,"retrieval summary from all-index results; split column is evaluation subset, not train-only retrieval"
dataset_longest_answer,longest_answer,retrieval_multimodal,alpha0.60,train,case,842,,,0.165,0.085,0.082,0.656,,outputs/metrics/dataset_longest_answer/metrics_summary.csv,"retrieval summary from all-index results; split column is evaluation subset, not train-only retrieval"
dataset_longest_answer,longest_answer,retrieval_multimodal,alpha0.60,valid,case,56,,,0.154,0.081,0.081,0.660,,outputs/metrics/dataset_longest_answer/metrics_summary.csv,"retrieval summary from all-index results; split column is evaluation subset, not train-only retrieval"
dataset_longest_answer,longest_answer,retrieval_tfidf,TF-IDF,all,case,998,,,0.158,0.084,0.083,0.656,,outputs/metrics/dataset_longest_answer/metrics_summary.csv,"retrieval summary from all-index results; split column is evaluation subset, not train-only retrieval"
dataset_longest_answer,longest_answer,retrieval_tfidf,TF-IDF,test,case,100,,,0.171,0.078,0.075,0.654,,outputs/metrics/dataset_longest_answer/metrics_summary.csv,"retrieval summary from all-index results; split column is evaluation subset, not train-only retrieval"
dataset_longest_answer,longest_answer,retrieval_tfidf,TF-IDF,train,case,842,,,0.157,0.085,0.084,0.657,,outputs/metrics/dataset_longest_answer/metrics_summary.csv,"retrieval summary from all-index results; split column is evaluation subset, not train-only retrieval"
dataset_longest_answer,longest_answer,retrieval_tfidf,TF-IDF,valid,case,56,,,0.155,0.080,0.076,0.654,,outputs/metrics/dataset_longest_answer/metrics_summary.csv,"retrieval summary from all-index results; split column is evaluation subset, not train-only retrieval"
dataset_longest_answer,longest_answer,retrieval_e5,intfloat/multilingual-e5-base,all,case,998,,,0.167,0.084,0.081,0.656,,outputs/metrics/dataset_longest_answer/metrics_summary.csv,"retrieval summary from all-index results; split column is evaluation subset, not train-only retrieval"
dataset_longest_answer,longest_answer,retrieval_e5,intfloat/multilingual-e5-base,test,case,100,,,0.178,0.081,0.077,0.656,,outputs/metrics/dataset_longest_answer/metrics_summary.csv,"retrieval summary from all-index results; split column is evaluation subset, not train-only retrieval"
dataset_longest_answer,longest_answer,retrieval_e5,intfloat/multilingual-e5-base,train,case,842,,,0.167,0.085,0.082,0.656,,outputs/metrics/dataset_longest_answer/metrics_summary.csv,"retrieval summary from all-index results; split column is evaluation subset, not train-only retrieval"
dataset_longest_answer,longest_answer,retrieval_e5,intfloat/multilingual-e5-base,valid,case,56,,,0.149,0.072,0.069,0.647,,outputs/metrics/dataset_longest_answer/metrics_summary.csv,"retrieval summary from all-index results; split column is evaluation subset, not train-only retrieval"
dataset_longest_answer,longest_answer,retrieval_sbert,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,all,case,998,,,0.174,0.088,0.085,0.657,,outputs/metrics/dataset_longest_answer/metrics_summary.csv,"retrieval summary from all-index results; split column is evaluation subset, not train-only retrieval"
dataset_longest_answer,longest_answer,retrieval_sbert,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,test,case,100,,,0.174,0.088,0.088,0.656,,outputs/metrics/dataset_longest_answer/metrics_summary.csv,"retrieval summary from all-index results; split column is evaluation subset, not train-only retrieval"
dataset_longest_answer,longest_answer,retrieval_sbert,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,train,case,842,,,0.176,0.089,0.085,0.657,,outputs/metrics/dataset_longest_answer/metrics_summary.csv,"retrieval summary from all-index results; split column is evaluation subset, not train-only retrieval"
dataset_longest_answer,longest_answer,retrieval_sbert,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,valid,case,56,,,0.144,0.071,0.071,0.648,,outputs/metrics/dataset_longest_answer/metrics_summary.csv,"retrieval summary from all-index results; split column is evaluation subset, not train-only retrieval"
dataset_longest_answer,longest_answer,retrieval_visual,BiomedCLIP,all,case,998,,,0.162,0.081,0.080,0.655,,outputs/metrics/dataset_longest_answer/metrics_summary.csv,"retrieval summary from all-index results; split column is evaluation subset, not train-only retrieval"
dataset_longest_answer,longest_answer,retrieval_visual,BiomedCLIP,test,case,100,,,0.162,0.078,0.085,0.654,,outputs/metrics/dataset_longest_answer/metrics_summary.csv,"retrieval summary from all-index results; split column is evaluation subset, not train-only retrieval"
dataset_longest_answer,longest_answer,retrieval_visual,BiomedCLIP,train,case,842,,,0.161,0.082,0.080,0.655,,outputs/metrics/dataset_longest_answer/metrics_summary.csv,"retrieval summary from all-index results; split column is evaluation subset, not train-only retrieval"
dataset_longest_answer,longest_answer,retrieval_visual,BiomedCLIP,valid,case,56,,,0.162,0.082,0.077,0.658,,outputs/metrics/dataset_longest_answer/metrics_summary.csv,"retrieval summary from all-index results; split column is evaluation subset, not train-only retrieval"
dataset_short_answer,short_answer,retrieval_multimodal,retrieval_multimodal/multimodal_alpha0.60_results,all,case,998,,,0.127,0.065,0.051,0.673,,outputs/metrics/dataset_short_answer/metrics_summary.csv,all-split retrieval summary for short-answer target
dataset_short_answer,short_answer,retrieval_textual_e5,retrieval_textual_e5/e5_results,all,case,998,,,0.104,0.035,0.026,0.667,,outputs/metrics/dataset_short_answer/metrics_summary.csv,all-split retrieval summary for short-answer target
dataset_short_answer,short_answer,retrieval_textual_sbert,retrieval_textual_sbert/sbert_results,all,case,998,,,0.110,0.048,0.034,0.668,,outputs/metrics/dataset_short_answer/metrics_summary.csv,all-split retrieval summary for short-answer target
dataset_short_answer,short_answer,retrieval_textual_tfidf,retrieval_textual_tfidf/tfidf_results,all,case,998,,,0.105,0.044,0.036,0.666,,outputs/metrics/dataset_short_answer/metrics_summary.csv,all-split retrieval summary for short-answer target
dataset_short_answer,short_answer,retrieval_visual,retrieval_visual/visual_results,all,case,998,,,0.122,0.060,0.041,0.672,,outputs/metrics/dataset_short_answer/metrics_summary.csv,all-split retrieval summary for short-answer target
dataset_longest_answer,longest_answer,retrieval_tfidf_train_only,TF-IDF,valid,case,56,0.232,11.781,0.145,0.063,0.077,,0.001,outputs/metrics/dataset_longest_answer/retrieval_heldout/metrics_summary.csv,TF-IDF retrieval with train split as the only retrieval index
dataset_longest_answer,longest_answer,retrieval_tfidf_train_only,TF-IDF,test,case,100,0.462,13.160,0.148,0.056,0.072,,0.001,outputs/metrics/dataset_longest_answer/retrieval_heldout/metrics_summary.csv,TF-IDF retrieval with train split as the only retrieval index
dataset_short_answer,short_answer,retrieval_tfidf_train_only,TF-IDF,valid,case,56,0.386,7.418,0.086,0.009,0.009,,0.001,outputs/metrics/dataset_short_answer/retrieval_heldout/metrics_summary.csv,TF-IDF retrieval with train split as the only retrieval index
dataset_short_answer,short_answer,retrieval_tfidf_train_only,TF-IDF,test,case,100,0.773,9.958,0.089,0.013,0.013,,0.001,outputs/metrics/dataset_short_answer/retrieval_heldout/metrics_summary.csv,TF-IDF retrieval with train split as the only retrieval index
dataset_longest_answer,longest_answer,vlm_lora_by_image,Qwen/Qwen2.5-VL-3B-Instruct + LoRA,valid,image,157,0.211,11.169,0.141,0.081,0.097,0.626,18.247,outputs/metrics/dataset_longest_answer/metrics_mixed.csv,VLM longest-answer evaluated per image; RAG uses E5 retrieval when method name includes rag
dataset_longest_answer,longest_answer,vlm_lora_by_image,Qwen/Qwen2.5-VL-3B-Instruct + LoRA,test,image,314,0.299,14.474,0.168,0.081,0.092,0.619,20.449,outputs/metrics/dataset_longest_answer/metrics_mixed.csv,VLM longest-answer evaluated per image; RAG uses E5 retrieval when method name includes rag
dataset_longest_answer,longest_answer,vlm_zero_shot_by_image,Qwen/Qwen2.5-VL-3B-Instruct,valid,image,157,0.728,21.637,0.220,0.089,0.125,0.647,15.453,outputs/metrics/dataset_longest_answer/metrics_mixed.csv,VLM longest-answer evaluated per image; RAG uses E5 retrieval when method name includes rag
dataset_longest_answer,longest_answer,vlm_zero_shot_by_image_rag_e5_small_longest,Qwen/Qwen2.5-VL-3B-Instruct,valid,image,157,0.658,22.978,0.218,0.091,0.127,0.647,17.888,outputs/metrics/dataset_longest_answer/metrics_mixed.csv,VLM longest-answer evaluated per image; RAG uses E5 retrieval when method name includes rag
dataset_longest_answer,longest_answer,vlm_lora_by_image_rag_e5_small_longest,Qwen/Qwen2.5-VL-3B-Instruct + LoRA,valid,image,157,0.108,10.257,0.119,0.055,0.041,0.565,27.451,outputs/metrics/dataset_longest_answer/metrics_mixed.csv,VLM longest-answer evaluated per image; RAG uses E5 retrieval when method name includes rag
dataset_longest_answer,longest_answer,vlm_zero_shot_by_image,Qwen/Qwen2.5-VL-3B-Instruct,test,image,314,0.624,21.977,0.211,0.083,0.110,0.646,15.016,outputs/metrics/dataset_longest_answer/metrics_mixed.csv,VLM longest-answer evaluated per image; RAG uses E5 retrieval when method name includes rag
dataset_longest_answer,longest_answer,vlm_zero_shot_by_image_rag_e5_small_longest,Qwen/Qwen2.5-VL-3B-Instruct,test,image,314,0.609,21.226,0.202,0.083,0.107,0.642,18.034,outputs/metrics/dataset_longest_answer/metrics_mixed.csv,VLM longest-answer evaluated per image; RAG uses E5 retrieval when method name includes rag
dataset_longest_answer,longest_answer,vlm_lora_by_image_rag_e5_small_longest,Qwen/Qwen2.5-VL-3B-Instruct + LoRA,test,image,314,0.078,10.541,0.121,0.041,0.033,0.560,29.387,outputs/metrics/dataset_longest_answer/metrics_mixed.csv,VLM longest-answer evaluated per image; RAG uses E5 retrieval when method name includes rag
dataset_longest_answer,longest_answer,vlm_lora,Qwen/Qwen2.5-VL-3B-Instruct,valid,case,56,0.237,10.723,0.145,0.101,0.113,,10.397,outputs/metrics/dataset_longest_answer/per_case_vlm_lora_valid_ht.csv,VLM LoRA longest per-case metrics; corpus scores recomputed from prediction CSV
dataset_longest_answer,longest_answer,vlm_lora,Qwen/Qwen2.5-VL-3B-Instruct,test,case,100,0.328,11.082,0.157,0.112,0.131,,12.541,outputs/metrics/dataset_longest_answer/per_case_vlm_lora_test_ht_spanishtestsetcorrected.csv,VLM LoRA longest per-case metrics; corpus scores recomputed from prediction CSV
